family,param,mean_mae_ratio,mean_hit_rate,n_cases
shrink,w=0.950,0.9949845184906505,0.5231669825514452,4
shrink,w=1.000,1.0,,4
shrink,w=0.900,1.0104047773864218,0.5231669825514452,4
shrink,w=0.850,1.0463181511384085,0.5231669825514452,4
shrink,w=0.800,1.0996747690519222,0.5231669825514452,4
shrink,w=0.750,1.1637813051904065,0.5231669825514452,4
shrink,w=0.700,1.2370461099940862,0.5231669825514452,4
shrink,w=0.650,1.319370125729018,0.5231669825514452,4
shrink,w=0.600,1.409601370847237,0.5231669825514452,4
shrink,w=0.500,1.6056739818927583,0.5231669825514452,4
shrink,w=0.400,1.8227674685315998,0.5231669825514452,4
shrink,w=0.300,2.0490389520632215,0.5231669825514452,4
shrink,w=0.250,2.164769545694187,0.5231669825514452,4
shrink,w=0.200,2.2821188526859,0.5231669825514452,4
tension,"cap=0.100,max_pull=0.750",2.3474772015084953,0.5231669825514452,4
shrink,w=0.150,2.4007557308031924,0.5231669825514452,4
tension,"cap=0.100,max_pull=0.500",2.484698149990306,0.5231669825514452,4
shrink,w=0.100,2.5203415273290206,0.5231669825514452,4
tension,"cap=0.200,max_pull=0.750",2.553823644091248,0.5231669825514452,4
tension,"cap=0.100,max_pull=0.250",2.623038630385535,0.5231669825514452,4
tension,"cap=0.200,max_pull=0.500",2.623038630385535,0.5231669825514452,4
tension,"cap=0.300,max_pull=0.750",2.623038630385535,0.5231669825514452,4
shrink,w=0.050,2.6408217949226183,0.5231669825514452,4
tension,"cap=0.300,max_pull=0.500",2.6693863509295483,0.5231669825514452,4
tension,"cap=0.500,max_pull=0.750",2.678660134763629,0.5231669825514452,4
tension,"cap=0.200,max_pull=0.250",2.6925721058137664,0.5231669825514452,4
tension,"cap=0.500,max_pull=0.500",2.7065085051295537,0.5231669825514452,4
tension,"cap=0.800,max_pull=0.750",2.7100013406643564,0.5231669825514452,4
tension,"cap=0.300,max_pull=0.250",2.71582273322236,0.5231669825514452,4
tension,"cap=1.000,max_pull=0.750",2.7204798472687637,0.5231669825514452,4
tension,"cap=0.800,max_pull=0.500",2.727472565140929,0.5231669825514452,4
tension,"cap=0.500,max_pull=0.250",2.7344715017331476,0.5231669825514452,4
tension,"cap=1.000,max_pull=0.500",2.7344715017331476,0.5231669825514452,4
tension,"cap=0.800,max_pull=0.250",2.7449699066214786,0.5231669825514452,4
tension,"cap=1.000,max_pull=0.250",2.7484693749175895,0.5231669825514452,4
baseline,p_system,2.762467248102035,0.5231669825514452,4
shrink,w=0.000,2.762467248102035,0.5231669825514452,4
